Name	Egg Group 1	Egg Group 2	Ability 1	Ability 2	Hidden Ability	Male Ratio	Female Ratio	OffspringSpecies
Arcanine	Field	N/A	Intimidate	Flash Fire	Justified	75.49	24.51	Growlithe
Poliwag	Water 1	N/A	Water Absorb	Damp	Swift Swim	50.2	49.8	Poliwag
Poliwhirl	Water 1	N/A	Water Absorb	Damp	Swift Swim	50.2	49.8	Poliwag
Poliwrath	Water 1	N/A	Water Absorb	Damp	Swift Swim	50.2	49.8	Poliwag
Abra	Human-Like	N/A	Synchronize	Inner Focus	Magic Guard	75.49	24.51	Abra
Kadabra	Human-Like	N/A	Synchronize	Inner Focus	Magic Guard	75.49	24.51	Abra
Alakazam	Human-Like	N/A	Synchronize	Inner Focus	Magic Guard	75.49	24.51	Abra
Machop	Human-Like	N/A	Guts	No Guard	Steadfast	75.49	24.51	Machop
Machoke	Human-Like	N/A	Guts	No Guard	Steadfast	75.49	24.51	Machop
Machamp	Human-Like	N/A	Guts	No Guard	Steadfast	75.49	24.51	Machop
Bellsprout	Grass	N/A	Chlorophyll	Gluttony	N/A	50.2	49.8	Bellsprout
Weepinbell	Grass	N/A	Chlorophyll	Gluttony	N/A	50.2	49.8	Bellsprout
Victreebel	Grass	N/A	Chlorophyll	Gluttony	N/A	50.2	49.8	Bellsprout
Tentacool	Water 3	N/A	Clear Body	Liquid Ooze	Rain Dish	50.2	49.8	Tentacool
Tentacruel	Water 3	N/A	Clear Body	Liquid Ooze	Rain Dish	50.2	49.8	Tentacool
Geodude	Mineral	N/A	Rock Head	Sturdy	Sand Veil	50.2	49.8	Geodude
Graveler	Mineral	N/A	Rock Head	Sturdy	Sand Veil	50.2	49.8	Geodude
Golem	Mineral	N/A	Rock Head	Sturdy	Sand Veil	50.2	49.8	Geodude
Ponyta	Field	N/A	Run Away	Flash Fire	Flame Body	50.2	49.8	Ponyta
Rapidash	Field	N/A	Run Away	Flash Fire	Flame Body	50.2	49.8	Ponyta
Slowpoke	Monster	Water 1	Oblivious	Own Tempo	Regenerator	50.2	49.8	Slowpoke
Slowbro	Monster	Water 1	Oblivious	Own Tempo	Regenerator	50.2	49.8	Slowpoke
Magnemite	Mineral	N/A	Magnet Pull	Sturdy	Analytic	0	0	Magnemite
Magneton	Mineral	N/A	Magnet Pull	Sturdy	Analytic	0	0	Magnemite
Farfetch'd	Flying	Field	Keen Eye	Inner Focus	Defiant	50.2	49.8	Farfetch'd
Doduo	Flying	N/A	Run Away	Early Bird	Tangled Feet	50.2	49.8	Doduo
Dodrio	Flying	N/A	Run Away	Early Bird	Tangled Feet	50.2	49.8	Doduo
Seel	Water 1	Field	Thick Fat	Hydration	Ice Body	50.2	49.8	Seel
Dewgong	Water 1	Field	Thick Fat	Hydration	Ice Body	50.2	49.8	Seel
Grimer	Amorphous	N/A	Stench	Sticky Hold	Poison Touch	50.2	49.8	Grimer
Muk	Amorphous	N/A	Stench	Sticky Hold	Poison Touch	50.2	49.8	Grimer
Shellder	Water 3	N/A	Shell Armor	Skill Link	Overcoat	50.2	49.8	Shellder
Cloyster	Water 3	N/A	Shell Armor	Skill Link	Overcoat	50.2	49.8	Shellder
Gastly	Amorphous	N/A	Levitate	N/A	N/A	50.2	49.8	Gastly
Haunter	Amorphous	N/A	Levitate	N/A	N/A	50.2	49.8	Gastly
Gengar	Amorphous	N/A	Cursed Body	N/A	N/A	50.2	49.8	Gastly
Onix	Mineral	N/A	Rock Head	Sturdy	Weak Armor	50.2	49.8	Onix
Drowzee	Human-Like	N/A	Insomnia	Forewarn	Inner Focus	50.2	49.8	Drowzee
Hypno	Human-Like	N/A	Insomnia	Forewarn	Inner Focus	50.2	49.8	Drowzee
Krabby	Water 3	N/A	Hyper Cutter	Shell Armor	Sheer Force	50.2	49.8	Krabby
Kingler	Water 3	N/A	Hyper Cutter	Shell Armor	Sheer Force	50.2	49.8	Krabby
Voltorb	Mineral	N/A	Soundproof	Static	Aftermath	0	0	Voltorb
Electrode	Mineral	N/A	Soundproof	Static	Aftermath	0	0	Voltorb
Exeggcute	Grass	N/A	Chlorophyll	Harvest	N/A	50.2	49.8	Exeggcute
Exeggutor	Grass	N/A	Chlorophyll	Harvest	N/A	50.2	49.8	Exeggcute
Cubone	Monster	N/A	Rock Head	Lightning Rod	Battle Armor	50.2	49.8	Cubone
Marowak	Monster	N/A	Rock Head	Lightning Rod	Battle Armor	50.2	49.8	Cubone
Hitmonlee	Human-Like	N/A	Limber	Reckless	Unburden	100	0	Tyrogue
Hitmonchan	Human-Like	N/A	Keen Eye	Iron Fist	Inner Focus	100	0	Tyrogue
Lickitung	Monster	N/A	Own Tempo	Oblivious	Cloud Nine	50.2	49.8	Lickitung
Koffing	Amorphous	N/A	Levitate	Neutralizing Gas	Stench	50.2	49.8	Koffing
Weezing	Amorphous	N/A	Levitate	Neutralizing Gas	Stench	50.2	49.8	Koffing
Rhyhorn	Monster	Field	Lightning Rod	Rock Head	Reckless	50.2	49.8	Rhyhorn
Rhydon	Monster	Field	Lightning Rod	Rock Head	Reckless	50.2	49.8	Rhyhorn
Chansey	Fairy	N/A	Natural Cure	Serene Grace	Healer	0	100	Happiny+Chansey
Tangela	Grass	N/A	Chlorophyll	Leaf Guard	Regenerator	50.2	49.8	Tangela
Kangaskhan	Monster	N/A	Early Bird	Scrappy	Inner Focus	0	100	Kangaskhan
Horsea	Water 1	Dragon	Swift Swim	Sniper	Damp	50.2	49.8	Horsea
Seadra	Water 1	Dragon	Poison Point	Sniper	Damp	50.2	49.8	Horsea
Goldeen	Water 2	N/A	Swift Swim	Water Veil	Lightning Rod	50.2	49.8	Goldeen
Seaking	Water 2	N/A	Swift Swim	Water Veil	Lightning Rod	50.2	49.8	Goldeen
Staryu	Water 3	N/A	Illuminate	Natural Cure	Analytic	0	0	Staryu
Starmie	Water 3	N/A	Illuminate	Natural Cure	Analytic	0	0	Staryu
Mr. Mime	Human-Like	N/A	Soundproof	Filter	Technician	50.2	49.8	Mime Jr.+Mr. Mime
Scyther	Bug	N/A	Swarm	Technician	Steadfast	50.2	49.8	Scyther
Jynx	Human-Like	N/A	Oblivious	Forewarn	Dry Skin	0	100	Smoochum
Electabuzz	Human-Like	N/A	Static	Vital Spirit	N/A	75.49	24.51	Elekid
Magmar	Human-Like	N/A	Flame Body	Vital Spirit	N/A	75.49	24.51	Magby
Pinsir	Bug	N/A	Hyper Cutter	Mold Breaker	Moxie	50.2	49.8	Pinsir
Tauros	Field	N/A	Intimidate	Anger Point	Sheer Force	100	0	Tauros
Magikarp	Water 2	Dragon	Swift Swim	Rattled	N/A	50.2	49.8	Magikarp
Gyarados	Water 2	Dragon	Intimidate	Moxie	N/A	50.2	49.8	Magikarp
Lapras	Monster	Water 1	Water Absorb	Shell Armor	Hydration	50.2	49.8	Lapras
Ditto	Ditto	N/A	Limber	Imposter	N/A	0	0	Ditto
Eevee	Field	N/A	Run Away	Adaptability	Anticipation	88.14	11.86	Eevee
Vaporeon	Field	N/A	Water Absorb	Hydration	N/A	88.14	11.86	Eevee
Jolteon	Field	N/A	Volt Absorb	Quick Feet	N/A	88.14	11.86	Eevee
Flareon	Field	N/A	Flash Fire	Guts	N/A	88.14	11.86	Eevee
Porygon	Mineral	N/A	Trace	Download	Analytic	0	0	Porygon
Omanyte	Water 1	Water 3	Swift Swim	Shell Armor	Weak Armor	88.14	11.86	Omanyte
Omastar	Water 1	Water 3	Swift Swim	Shell Armor	Weak Armor	88.14	11.86	Omanyte
Kabuto	Water 1	Water 3	Swift Swim	Battle Armor	Weak Armor	88.14	11.86	Kabuto
Kabutops	Water 1	Water 3	Swift Swim	Battle Armor	Weak Armor	88.14	11.86	Kabuto
Aerodactyl	Flying	N/A	Rock Head	Pressure	Unnerve	88.14	11.86	Aerodactyl
Snorlax	Monster	N/A	Immunity	Thick Fat	Gluttony	88.14	11.86	Munchlax+Snorlax
Articuno	Undiscovered	N/A	Pressure	Snow Cloak	N/A	0	0	N/A
Zapdos	Undiscovered	N/A	Pressure	Static	N/A	0	0	N/A
Moltres	Undiscovered	N/A	Pressure	Flame Body	N/A	0	0	N/A
Dratini	Water 1	Dragon	Shed Skin	Marvel Scale	N/A	50.2	49.8	Dratini
Dragonair	Water 1	Dragon	Shed Skin	Marvel Scale	N/A	50.2	49.8	Dratini
Dragonite	Water 1	Dragon	Inner Focus	Multiscale	N/A	50.2	49.8	Dratini
Mewtwo	Undiscovered	N/A	Pressure	Unnerve	N/A	0	0	N/A
Mew	Undiscovered	N/A	Synchronize	N/A	N/A	0	0	N/A
Chikorita	Monster	Grass	Overgrow	Leaf Guard	N/A	88.14	11.86	Chikorita
Bayleef	Monster	Grass	Overgrow	Leaf Guard	N/A	88.14	11.86	Chikorita
Meganium	Monster	Grass	Overgrow	Leaf Guard	N/A	88.14	11.86	Chikorita
Cyndaquil	Field	N/A	Blaze	Flash Fire	N/A	88.14	11.86	Cyndaquil
Quilava	Field	N/A	Blaze	Flash Fire	N/A	88.14	11.86	Cyndaquil
Typhlosion	Field	N/A	Blaze	Flash Fire	N/A	88.14	11.86	Cyndaquil
Totodile	Monster	Water 1	Torrent	Sheer Force	N/A	88.14	11.86	Totodile
Croconaw	Monster	Water 1	Torrent	Sheer Force	N/A	88.14	11.86	Totodile
Feraligatr	Monster	Water 1	Torrent	Sheer Force	N/A	88.14	11.86	Totodile
Sentret	Field	N/A	Run Away	Keen Eye	Frisk	50.2	49.8	Sentret
Furret	Field	N/A	Run Away	Keen Eye	Frisk	50.2	49.8	Sentret
Hoothoot	Flying	N/A	Insomnia	Keen Eye	Tinted Lens	50.2	49.8	Hoothoot
Noctowl	Flying	N/A	Insomnia	Keen Eye	Tinted Lens	50.2	49.8	Hoothoot
Ledyba	Bug	N/A	Swarm	Early Bird	Rattled	50.2	49.8	Ledyba
Ledian	Bug	N/A	Swarm	Early Bird	Iron Fist	50.2	49.8	Ledyba
Spinarak	Bug	N/A	Swarm	Insomnia	Sniper	50.2	49.8	Spinarak
Ariados	Bug	N/A	Swarm	Insomnia	Sniper	50.2	49.8	Spinarak
Crobat	Flying	N/A	Inner Focus	Infiltrator	N/A	50.2	49.8	Zubat
Chinchou	Water 2	N/A	Volt Absorb	Illuminate	Water Absorb	50.2	49.8	Chinchou
Lanturn	Water 2	N/A	Volt Absorb	Illuminate	Water Absorb	50.2	49.8	Chinchou
Pichu	Undiscovered	N/A	Static	Lightning Rod	N/A	50.2	49.8	N/A
Cleffa	Undiscovered	N/A	Cute Charm	Magic Guard	Friend Guard	24.9	75.1	N/A
Igglybuff	Undiscovered	N/A	Cute Charm	Competitive	Friend Guard	24.9	75.1	N/A
Togepi	Undiscovered	N/A	Hustle	Serene Grace	Super Luck	88.14	11.86	N/A
Togetic	Flying	Fairy	Hustle	Serene Grace	Super Luck	88.14	11.86	Togepi
Natu	Flying	N/A	Synchronize	Early Bird	Magic Bounce	50.2	49.8	Natu
Xatu	Flying	N/A	Synchronize	Early Bird	Magic Bounce	50.2	49.8	Natu
Mareep	Monster	Field	Static	Plus	N/A	50.2	49.8	Mareep
Flaaffy	Monster	Field	Static	Plus	N/A	50.2	49.8	Mareep
Ampharos	Monster	Field	Static	Plus	N/A	50.2	49.8	Mareep
Bellossom	Grass	N/A	Chlorophyll	Healer	N/A	50.2	49.8	Oddish
Marill	Water 1	Fairy	Thick Fat	Huge Power	Sap Sipper	50.2	49.8	Azurill+Marill
Azumarill	Water 1	Fairy	Thick Fat	Huge Power	Sap Sipper	50.2	49.8	Azurill+Marill
Sudowoodo	Mineral	N/A	Sturdy	Rock Head	Rattled	50.2	49.8	Bonsly+Sudowoodo
Politoed	Water 1	N/A	Water Absorb	Damp	Drizzle	50.2	49.8	Poliwag
Hoppip	Fairy	Grass	Chlorophyll	Leaf Guard	Infiltrator	50.2	49.8	Hoppip
Skiploom	Fairy	Grass	Chlorophyll	Leaf Guard	Infiltrator	50.2	49.8	Hoppip
Jumpluff	Fairy	Grass	Chlorophyll	Leaf Guard	Infiltrator	50.2	49.8	Hoppip
Aipom	Field	N/A	Run Away	Pickup	Skill Link	50.2	49.8	Aipom
Sunkern	Grass	N/A	Chlorophyll	Solar Power	Early Bird	50.2	49.8	Sunkern
Sunflora	Grass	N/A	Chlorophyll	Solar Power	Early Bird	50.2	49.8	Sunkern
Yanma	Bug	N/A	Speed Boost	Compoundeyes	Frisk	50.2	49.8	Yanma
Wooper	Water 1	Field	Damp	Water Absorb	Unaware	50.2	49.8	Wooper
Quagsire	Water 1	Field	Damp	Water Absorb	Unaware	50.2	49.8	Wooper
Espeon	Field	N/A	Synchronize	Magic Bounce	N/A	88.14	11.86	Eevee
Umbreon	Field	N/A	Synchronize	Inner Focus	N/A	88.14	11.86	Eevee
Murkrow	Flying	N/A	Insomnia	Super Luck	Prankster	50.2	49.8	Murkrow
Slowking	Monster	Water 1	Oblivious	Own Tempo	Regenerator	50.2	49.8	Slowpoke
Misdreavus	Amorphous	N/A	Levitate	N/A	N/A	50.2	49.8	Misdreavus
Unown	Undiscovered	N/A	Levitate	N/A	N/A	0	0	N/A
Wobbuffet	Amorphous	N/A	Shadow Tag	Telepathy	N/A	50.2	49.8	Wynaut+Wobbuffet
Girafarig	Field	N/A	Inner Focus	Early Bird	Sap Sipper	50.2	49.8	Girafarig
Pineco	Bug	N/A	Sturdy	Overcoat	N/A	50.2	49.8	Pineco
Forretress	Bug	N/A	Sturdy	Overcoat	N/A	50.2	49.8	Pineco
Dunsparce	Field	N/A	Serene Grace	Run Away	Rattled	50.2	49.8	Dunsparce
Gligar	Bug	N/A	Hyper Cutter	Sand Veil	Immunity	50.2	49.8	Gligar
Steelix	Mineral	N/A	Rock Head	Sturdy	Sheer Force	50.2	49.8	Onix
Snubbull	Field	Fairy	Intimidate	Run Away	Rattled	24.9	75.1	Snubbull
Granbull	Field	Fairy	Intimidate	Quick Feet	Rattled	24.9	75.1	Snubbull
Qwilfish	Water 2	N/A	Poison Point	Swift Swim	Intimidate	50.2	49.8	Qwilfish
Scizor	Bug	N/A	Swarm	Technician	Light Metal	50.2	49.8	Scyther
Shuckle	Bug	N/A	Sturdy	Gluttony	Contrary	50.2	49.8	Shuckle
Heracross	Bug	N/A	Swarm	Guts	Moxie	50.2	49.8	Heracross
Sneasel	Field	N/A	Inner Focus	Keen Eye	Pickpocket	50.2	49.8	Sneasel
Teddiursa	Field	N/A	Pickup	Quick Feet	Honey Gather	50.2	49.8	Teddiursa
Ursaring	Field	N/A	Guts	Quick Feet	Unnerve	50.2	49.8	Teddiursa
Slugma	Amorphous	N/A	Magma Armor	Flame Body	Weak Armor	50.2	49.8	Slugma
Magcargo	Amorphous	N/A	Magma Armor	Flame Body	Weak Armor	50.2	49.8	Slugma
Swinub	Field	N/A	Oblivious	Snow Cloak	Thick Fat	50.2	49.8	Swinub
Piloswine	Field	N/A	Oblivious	Snow Cloak	Thick Fat	50.2	49.8	Swinub
Corsola	Water 1	Water 3	Hustle	Natural Cure	Regenerator	24.9	75.1	Corsola
Remoraid	Water 1	Water 2	Hustle	Sniper	Moody	50.2	49.8	Remoraid
Octillery	Water 1	Water 2	Suction Cups	Sniper	Moody	50.2	49.8	Remoraid
Delibird	Water 1	Field	Vital Spirit	Hustle	Insomnia	50.2	49.8	Delibird
Mantine	Water 1	N/A	Swift Swim	Water Absorb	Water Veil	50.2	49.8	Mantyke+Mantine
Skarmory	Flying	N/A	Keen Eye	Sturdy	Weak Armor	50.2	49.8	Skarmory
Houndour	Field	N/A	Early Bird	Flash Fire	Unnerve	50.2	49.8	Houndour
Houndoom	Field	N/A	Early Bird	Flash Fire	Unnerve	50.2	49.8	Houndour
Kingdra	Water 1	Dragon	Swift Swim	Sniper	Damp	50.2	49.8	Horsea
Phanpy	Field	N/A	Pickup	Sand Veil	N/A	50.2	49.8	Phanpy
Donphan	Field	N/A	Sturdy	Sand Veil	N/A	50.2	49.8	Phanpy
Porygon2	Mineral	N/A	Trace	Download	Analytic	0	0	Porygon
Stantler	Field	N/A	Intimidate	Frisk	Sap Sipper	50.2	49.8	Stantler
Smeargle	Field	N/A	Own Tempo	Technician	Moody	50.2	49.8	Smeargle
Tyrogue	Undiscovered	N/A	Guts	Steadfast	Vital Spirit	100	0	N/A
Hitmontop	Human-Like	N/A	Intimidate	Technician	Steadfast	100	0	Tyrogue
Smoochum	Undiscovered	N/A	Oblivious	Forewarn	Hydration	0	100	N/A
Elekid	Undiscovered	N/A	Static	Vital Spirit	N/A	75.49	24.51	N/A
Magby	Undiscovered	N/A	Flame Body	Vital Spirit	N/A	75.49	24.51	N/A
Miltank	Field	N/A	Thick Fat	Scrappy	Sap Sipper	0	100	Miltank
Blissey	Fairy	N/A	Natural Cure	Serene Grace	Healer	0	100	Happiny+Chansey
Raikou	Undiscovered	N/A	Pressure	Inner Focus	N/A	0	0	N/A
Entei	Undiscovered	N/A	Pressure	Inner Focus	N/A	0	0	N/A
Suicune	Undiscovered	N/A	Pressure	Inner Focus	N/A	0	0	N/A
Larvitar	Monster	N/A	Guts	Sand Veil	N/A	50.2	49.8	Larvitar
Pupitar	Monster	N/A	Shed Skin	N/A	N/A	50.2	49.8	Larvitar
Tyranitar	Monster	N/A	Sand Stream	Unnerve	N/A	50.2	49.8	Larvitar
Lugia	Undiscovered	N/A	Pressure	Multiscale	N/A	0	0	N/A
Ho-Oh	Undiscovered	N/A	Pressure	Regenerator	N/A	0	0	N/A
Celebi	Undiscovered	N/A	Natural Cure	N/A	N/A	0	0	N/A
Treecko	Monster	Dragon	Overgrow	Unburden	N/A	88.14	11.86	Treecko
Grovyle	Monster	Dragon	Overgrow	Unburden	N/A	88.14	11.86	Treecko
Sceptile	Monster	Dragon	Overgrow	Unburden	N/A	88.14	11.86	Treecko
Torchic	Field	N/A	Blaze	Speed Boost	N/A	88.14	11.86	Torchic
Combusken	Field	N/A	Blaze	Speed Boost	N/A	88.14	11.86	Torchic
Blaziken	Field	N/A	Blaze	Speed Boost	N/A	88.14	11.86	Torchic
Mudkip	Monster	Water 1	Torrent	Damp	N/A	88.14	11.86	Mudkip
Marshtomp	Monster	Water 1	Torrent	Damp	N/A	88.14	11.86	Mudkip
Swampert	Monster	Water 1	Torrent	Damp	N/A	88.14	11.86	Mudkip
Poochyena	Field	N/A	Run Away	Quick Feet	Rattled	50.2	49.8	Poochyena
Mightyena	Field	N/A	Intimidate	Quick Feet	Moxie	50.2	49.8	Poochyena
Zigzagoon	Field	N/A	Pickup	Gluttony	Quick Feet	50.2	49.8	Zigzagoon
Linoone	Field	N/A	Pickup	Gluttony	Quick Feet	50.2	49.8	Zigzagoon
Wurmple	Bug	N/A	Shield Dust	Run Away	N/A	50.2	49.8	Wurmple
Silcoon	Bug	N/A	Shed Skin	N/A	N/A	50.2	49.8	Wurmple
Beautifly	Bug	N/A	Swarm	Rivalry	N/A	50.2	49.8	Wurmple
Cascoon	Bug	N/A	Shed Skin	N/A	N/A	50.2	49.8	Wurmple
Dustox	Bug	N/A	Shield Dust	Compoundeyes	N/A	50.2	49.8	Wurmple
Lotad	Water 1	Grass	Swift Swim	Rain Dish	Own Tempo	50.2	49.8	Lotad
Lombre	Water 1	Grass	Swift Swim	Rain Dish	Own Tempo	50.2	49.8	Lotad
Ludicolo	Water 1	Grass	Swift Swim	Rain Dish	Own Tempo	50.2	49.8	Lotad
Seedot	Field	Grass	Chlorophyll	Early Bird	Pickpocket	50.2	49.8	Seedot
Nuzleaf	Field	Grass	Chlorophyll	Early Bird	Pickpocket	50.2	49.8	Seedot
Shiftry	Field	Grass	Chlorophyll	Early Bird	Pickpocket	50.2	49.8	Seedot
Taillow	Flying	N/A	Guts	Scrappy	N/A	50.2	49.8	Taillow
Swellow	Flying	N/A	Guts	Scrappy	N/A	50.2	49.8	Taillow
Wingull	Water 1	Flying	Keen Eye	Hydration	Rain Dish	50.2	49.8	Wingull
Pelipper	Water 1	Flying	Keen Eye	Drizzle	Rain Dish	50.2	49.8	Wingull
Ralts	Human-Like*	Amorphous	Synchronize	Trace	Telepathy	50.2	49.8	Ralts
Kirlia	Human-Like*	Amorphous	Synchronize	Trace	Telepathy	50.2	49.8	Ralts
Gardevoir	Human-Like*	Amorphous	Synchronize	Trace	Telepathy	50.2	49.8	Ralts
Surskit	Water 1	Bug	Swift Swim	Rain Dish	N/A	50.2	49.8	Surskit
Masquerain	Water 1	Bug	Intimidate	Unnerve	N/A	50.2	49.8	Surskit
Shroomish	Fairy	Grass	Effect Spore	Poison Heal	Quick Feet	50.2	49.8	Shroomish
Breloom	Fairy	Grass	Effect Spore	Poison Heal	Technician	50.2	49.8	Shroomish
Slakoth	Field	N/A	Truant	N/A	N/A	50.2	49.8	Slakoth
Vigoroth	Field	N/A	Vital Spirit	N/A	N/A	50.2	49.8	Slakoth
Slaking	Field	N/A	Truant	N/A	N/A	50.2	49.8	Slakoth
Nincada	Bug	N/A	Compoundeyes	Run Away	N/A	50.2	49.8	Nincada
Ninjask	Bug	N/A	Speed Boost	Infiltrator	N/A	50.2	49.8	Nincada
Shedinja	Mineral	N/A	Wonder Guard	N/A	N/A	0	0	Nincada
Whismur	Monster	Field	Soundproof	Rattled	N/A	50.2	49.8	Whismur
Loudred	Monster	Field	Soundproof	Scrappy	N/A	50.2	49.8	Whismur
Exploud	Monster	Field	Soundproof	Scrappy	N/A	50.2	49.8	Whismur
Makuhita	Human-Like	N/A	Thick Fat	Guts	Sheer Force	75.49	24.51	Makuhita
Hariyama	Human-Like	N/A	Thick Fat	Guts	Sheer Force	75.49	24.51	Makuhita
Azurill	Undiscovered	N/A	Thick Fat	Huge Power	Sap Sipper	24.9	75.1	N/A
Nosepass	Mineral	N/A	Sturdy	Magnet Pull	Sand Force	50.2	49.8	Nosepass
Skitty	Field	Fairy	Cute Charm	Normalize	Wonder Skin	24.9	75.1	Skitty
Delcatty	Field	Fairy	Cute Charm	Normalize	Wonder Skin	24.9	75.1	Skitty
Sableye	Human-Like	N/A	Keen Eye	Stall	Prankster	50.2	49.8	Sableye
Mawile	Field	Fairy	Hyper Cutter	Intimidate	Sheer Force	50.2	49.8	Mawile
Aron	Monster	N/A	Sturdy	Rock Head	Heavy Metal	50.2	49.8	Aron
Lairon	Monster	N/A	Sturdy	Rock Head	Heavy Metal	50.2	49.8	Aron
Aggron	Monster	N/A	Sturdy	Rock Head	Heavy Metal	50.2	49.8	Aron
Meditite	Human-Like	N/A	Pure Power	Telepathy	N/A	50.2	49.8	Meditite
