Name	Egg Group 1	Egg Group 2	Ability 1	Ability 2	Hidden Ability	Male Ratio	Female Ratio
Noctowl	Flying	N/A	Insomnia	Keen Eye	Tinted Lens	50.2	49.8
Ledyba	Bug	N/A	Swarm	Early Bird	Rattled	50.2	49.8
Ledian	Bug	N/A	Swarm	Early Bird	Iron Fist	50.2	49.8
Spinarak	Bug	N/A	Swarm	Insomnia	Sniper	50.2	49.8
Ariados	Bug	N/A	Swarm	Insomnia	Sniper	50.2	49.8
Crobat	Flying	N/A	Inner Focus	Infiltrator	N/A	50.2	49.8
Chinchou	Water 2	N/A	Volt Absorb	Illuminate	Water Absorb	50.2	49.8
Lanturn	Water 2	N/A	Volt Absorb	Illuminate	Water Absorb	50.2	49.8
Pichu	Undiscovered	N/A	Static	Lightning Rod	N/A	50.2	49.8
Cleffa	Undiscovered	N/A	Cute Charm	Magic Guard	Friend Guard	24.9	75.1
Igglybuff	Undiscovered	N/A	Cute Charm	Competitive	Friend Guard	24.9	75.1
Togepi	Undiscovered	N/A	Hustle	Serene Grace	Super Luck	88.14	11.86
Togetic	Flying	Fairy	Hustle	Serene Grace	Super Luck	88.14	11.86
Natu	Flying	N/A	Synchronize	Early Bird	Magic Bounce	50.2	49.8
Xatu	Flying	N/A	Synchronize	Early Bird	Magic Bounce	50.2	49.8
Mareep	Monster	Field	Static	Plus	N/A	50.2	49.8
Flaaffy	Monster	Field	Static	Plus	N/A	50.2	49.8
Ampharos	Monster	Field	Static	Plus	N/A	50.2	49.8
Bellossom	Grass	N/A	Chlorophyll	Healer	N/A	50.2	49.8
Marill	Water 1	Fairy	Thick Fat	Huge Power	Sap Sipper	50.2	49.8
Azumarill	Water 1	Fairy	Thick Fat	Huge Power	Sap Sipper	50.2	49.8
Sudowoodo	Mineral	N/A	Sturdy	Rock Head	Rattled	50.2	49.8
Politoed	Water 1	N/A	Water Absorb	Damp	Drizzle	50.2	49.8
Hoppip	Fairy	Grass	Chlorophyll	Leaf Guard	Infiltrator	50.2	49.8
Skiploom	Fairy	Grass	Chlorophyll	Leaf Guard	Infiltrator	50.2	49.8
Jumpluff	Fairy	Grass	Chlorophyll	Leaf Guard	Infiltrator	50.2	49.8
Aipom	Field	N/A	Run Away	Pickup	Skill Link	50.2	49.8
Sunkern	Grass	N/A	Chlorophyll	Solar Power	Early Bird	50.2	49.8
Sunflora	Grass	N/A	Chlorophyll	Solar Power	Early Bird	50.2	49.8
Yanma	Bug	N/A	Speed Boost	Compoundeyes	Frisk	50.2	49.8
Wooper	Water 1	Field	Damp	Water Absorb	Unaware	50.2	49.8
Quagsire	Water 1	Field	Damp	Water Absorb	Unaware	50.2	49.8
Espeon	Field	N/A	Synchronize	Magic Bounce	N/A	88.14	11.86
Umbreon	Field	N/A	Synchronize	Inner Focus	N/A	88.14	11.86
Murkrow	Flying	N/A	Insomnia	Super Luck	Prankster	50.2	49.8
Slowking	Monster	Water 1	Oblivious	Own Tempo	Regenerator	50.2	49.8
Misdreavus	Amorphous	N/A	Levitate	N/A	N/A	50.2	49.8
Unown	Undiscovered	N/A	Levitate	N/A	N/A	0	0
Wobbuffet	Amorphous	N/A	Shadow Tag	Telepathy	N/A	50.2	49.8
Girafarig	Field	N/A	Inner Focus	Early Bird	Sap Sipper	50.2	49.8
Pineco	Bug	N/A	Sturdy	Overcoat	N/A	50.2	49.8
Forretress	Bug	N/A	Sturdy	Overcoat	N/A	50.2	49.8
Dunsparce	Field	N/A	Serene Grace	Run Away	Rattled	50.2	49.8
Gligar	Bug	N/A	Hyper Cutter	Sand Veil	Immunity	50.2	49.8
Steelix	Mineral	N/A	Rock Head	Sturdy	Sheer Force	50.2	49.8
Snubbull	Field	Fairy	Intimidate	Run Away	Rattled	24.9	75.1
Granbull	Field	Fairy	Intimidate	Quick Feet	Rattled	24.9	75.1
Qwilfish	Water 2	N/A	Poison Point	Swift Swim	Intimidate	50.2	49.8
Scizor	Bug	N/A	Swarm	Technician	Light Metal	50.2	49.8
Shuckle	Bug	N/A	Sturdy	Gluttony	Contrary	50.2	49.8
Heracross	Bug	N/A	Swarm	Guts	Moxie	50.2	49.8
Sneasel	Field	N/A	Inner Focus	Keen Eye	Pickpocket	50.2	49.8
Teddiursa	Field	N/A	Pickup	Quick Feet	Honey Gather	50.2	49.8
Ursaring	Field	N/A	Guts	Quick Feet	Unnerve	50.2	49.8
Slugma	Amorphous	N/A	Magma Armor	Flame Body	Weak Armor	50.2	49.8
Magcargo	Amorphous	N/A	Magma Armor	Flame Body	Weak Armor	50.2	49.8
Swinub	Field	N/A	Oblivious	Snow Cloak	Thick Fat	50.2	49.8
Piloswine	Field	N/A	Oblivious	Snow Cloak	Thick Fat	50.2	49.8
Corsola	Water 1	Water 3	Hustle	Natural Cure	Regenerator	24.9	75.1
Remoraid	Water 1	Water 2	Hustle	Sniper	Moody	50.2	49.8
Octillery	Water 1	Water 2	Suction Cups	Sniper	Moody	50.2	49.8
Delibird	Water 1	Field	Vital Spirit	Hustle	Insomnia	50.2	49.8
Mantine	Water 1	N/A	Swift Swim	Water Absorb	Water Veil	50.2	49.8
Skarmory	Flying	N/A	Keen Eye	Sturdy	Weak Armor	50.2	49.8
Houndour	Field	N/A	Early Bird	Flash Fire	Unnerve	50.2	49.8
Houndoom	Field	N/A	Early Bird	Flash Fire	Unnerve	50.2	49.8
Kingdra	Water 1	Dragon	Swift Swim	Sniper	Damp	50.2	49.8
Phanpy	Field	N/A	Pickup	Sand Veil	N/A	50.2	49.8
Donphan	Field	N/A	Sturdy	Sand Veil	N/A	50.2	49.8
Porygon2	Mineral	N/A	Trace	Download	Analytic	0	0
Stantler	Field	N/A	Intimidate	Frisk	Sap Sipper	50.2	49.8
Smeargle	Field	N/A	Own Tempo	Technician	Moody	50.2	49.8
Tyrogue	Undiscovered	N/A	Guts	Steadfast	Vital Spirit	100	0
Hitmontop	Human-Like	N/A	Intimidate	Technician	Steadfast	100	0
Smoochum	Undiscovered	N/A	Oblivious	Forewarn	Hydration	0	100
Elekid	Undiscovered	N/A	Static	Vital Spirit	N/A	75.49	24.51
Magby	Undiscovered	N/A	Flame Body	Vital Spirit	N/A	75.49	24.51
Miltank	Field	N/A	Thick Fat	Scrappy	Sap Sipper	0	100
Blissey	Fairy	N/A	Natural Cure	Serene Grace	Healer	0	100
Raikou	Undiscovered	N/A	Pressure	Inner Focus	N/A	0	0
Entei	Undiscovered	N/A	Pressure	Inner Focus	N/A	0	0
Suicune	Undiscovered	N/A	Pressure	Inner Focus	N/A	0	0
Larvitar	Monster	N/A	Guts	Sand Veil	N/A	50.2	49.8
Pupitar	Monster	N/A	Shed Skin	N/A	N/A	50.2	49.8
Tyranitar	Monster	N/A	Sand Stream	Unnerve	N/A	50.2	49.8
Lugia	Undiscovered	N/A	Pressure	Multiscale	N/A	0	0
Ho-Oh	Undiscovered	N/A	Pressure	Regenerator	N/A	0	0
Celebi	Undiscovered	N/A	Natural Cure	N/A	N/A	0	0
Treecko	Monster	Dragon	Overgrow	Unburden	N/A	88.14	11.86
Grovyle	Monster	Dragon	Overgrow	Unburden	N/A	88.14	11.86
Sceptile	Monster	Dragon	Overgrow	Unburden	N/A	88.14	11.86
Torchic	Field	N/A	Blaze	Speed Boost	N/A	88.14	11.86
Combusken	Field	N/A	Blaze	Speed Boost	N/A	88.14	11.86
Blaziken	Field	N/A	Blaze	Speed Boost	N/A	88.14	11.86
Mudkip	Monster	Water 1	Torrent	Damp	N/A	88.14	11.86
Marshtomp	Monster	Water 1	Torrent	Damp	N/A	88.14	11.86
Swampert	Monster	Water 1	Torrent	Damp	N/A	88.14	11.86
Poochyena	Field	N/A	Run Away	Quick Feet	Rattled	50.2	49.8
Mightyena	Field	N/A	Intimidate	Quick Feet	Moxie	50.2	49.8
Zigzagoon	Field	N/A	Pickup	Gluttony	Quick Feet	50.2	49.8
Linoone	Field	N/A	Pickup	Gluttony	Quick Feet	50.2	49.8
Wurmple	Bug	N/A	Shield Dust	Run Away	N/A	50.2	49.8
Silcoon	Bug	N/A	Shed Skin	N/A	N/A	50.2	49.8
Beautifly	Bug	N/A	Swarm	Rivalry	N/A	50.2	49.8
Cascoon	Bug	N/A	Shed Skin	N/A	N/A	50.2	49.8
Dustox	Bug	N/A	Shield Dust	Compoundeyes	N/A	50.2	49.8
Lotad	Water 1	Grass	Swift Swim	Rain Dish	Own Tempo	50.2	49.8
Lombre	Water 1	Grass	Swift Swim	Rain Dish	Own Tempo	50.2	49.8
Ludicolo	Water 1	Grass	Swift Swim	Rain Dish	Own Tempo	50.2	49.8
Seedot	Field	Grass	Chlorophyll	Early Bird	Pickpocket	50.2	49.8
Nuzleaf	Field	Grass	Chlorophyll	Early Bird	Pickpocket	50.2	49.8
Shiftry	Field	Grass	Chlorophyll	Early Bird	Pickpocket	50.2	49.8
Taillow	Flying	N/A	Guts	Scrappy	N/A	50.2	49.8
Swellow	Flying	N/A	Guts	Scrappy	N/A	50.2	49.8
Wingull	Water 1	Flying	Keen Eye	Hydration	Rain Dish	50.2	49.8
Pelipper	Water 1	Flying	Keen Eye	Drizzle	Rain Dish	50.2	49.8
Ralts	Human-Like*	Amorphous	Synchronize	Trace	Telepathy	50.2	49.8
Kirlia	Human-Like*	Amorphous	Synchronize	Trace	Telepathy	50.2	49.8
Gardevoir	Human-Like*	Amorphous	Synchronize	Trace	Telepathy	50.2	49.8
Surskit	Water 1	Bug	Swift Swim	Rain Dish	N/A	50.2	49.8
Masquerain	Water 1	Bug	Intimidate	Unnerve	N/A	50.2	49.8
Shroomish	Fairy	Grass	Effect Spore	Poison Heal	Quick Feet	50.2	49.8
Breloom	Fairy	Grass	Effect Spore	Poison Heal	Technician	50.2	49.8
Slakoth	Field	N/A	Truant	N/A	N/A	50.2	49.8
Vigoroth	Field	N/A	Vital Spirit	N/A	N/A	50.2	49.8
Slaking	Field	N/A	Truant	N/A	N/A	50.2	49.8
Nincada	Bug	N/A	Compoundeyes	Run Away	N/A	50.2	49.8
Ninjask	Bug	N/A	Speed Boost	Infiltrator	N/A	50.2	49.8
Shedinja	Mineral	N/A	Wonder Guard	N/A	N/A	0	0
Whismur	Monster	Field	Soundproof	Rattled	N/A	50.2	49.8
Loudred	Monster	Field	Soundproof	Scrappy	N/A	50.2	49.8
Exploud	Monster	Field	Soundproof	Scrappy	N/A	50.2	49.8
Makuhita	Human-Like	N/A	Thick Fat	Guts	Sheer Force	75.49	24.51
Hariyama	Human-Like	N/A	Thick Fat	Guts	Sheer Force	75.49	24.51
Azurill	Undiscovered	N/A	Thick Fat	Huge Power	Sap Sipper	24.9	75.1
Nosepass	Mineral	N/A	Sturdy	Magnet Pull	Sand Force	50.2	49.8
Skitty	Field	Fairy	Cute Charm	Normalize	Wonder Skin	24.9	75.1
Delcatty	Field	Fairy	Cute Charm	Normalize	Wonder Skin	24.9	75.1
Sableye	Human-Like	N/A	Keen Eye	Stall	Prankster	50.2	49.8
Mawile	Field	Fairy	Hyper Cutter	Intimidate	Sheer Force	50.2	49.8
Aron	Monster	N/A	Sturdy	Rock Head	Heavy Metal	50.2	49.8
Lairon	Monster	N/A	Sturdy	Rock Head	Heavy Metal	50.2	49.8
Aggron	Monster	N/A	Sturdy	Rock Head	Heavy Metal	50.2	49.8
Meditite	Human-Like	N/A	Pure Power	Telepathy	N/A	50.2	49.8
Medicham	Human-Like	N/A	Pure Power	Telepathy	N/A	50.2	49.8
Electrike	Field	N/A	Static	Lightning Rod	Minus	50.2	49.8
Manectric	Field	N/A	Static	Lightning Rod	Minus	50.2	49.8
Plusle	Fairy	N/A	Plus	Lightning Rod	N/A	50.2	49.8
Minun	Fairy	N/A	Minus	Volt Absorb	N/A	50.2	49.8
Volbeat	Bug	Human-Like	Illuminate	Swarm	Prankster	100	0
Illumise	Bug	Human-Like	Oblivious	Tinted Lens	Prankster	0	100
Roselia	Fairy	Grass	Natural Cure	Poison Point	Leaf Guard	50.2	49.8
Gulpin	Amorphous	N/A	Liquid Ooze	Sticky Hold	Gluttony	50.2	49.8
Swalot	Amorphous	N/A	Liquid Ooze	Sticky Hold	Gluttony	50.2	49.8
Carvanha	Water 2	N/A	Rough Skin	Speed Boost	N/A	50.2	49.8
Sharpedo	Water 2	N/A	Rough Skin	Speed Boost	N/A	50.2	49.8
Wailmer	Field	Water 2	Water Veil	Oblivious	Pressure	50.2	49.8
Wailord	Field	Water 2	Water Veil	Oblivious	Pressure	50.2	49.8
Numel	Field	N/A	Oblivious	Simple	Own Tempo	50.2	49.8
Camerupt	Field	N/A	Magma Armor	Solid Rock	Anger Point	50.2	49.8
Torkoal	Field	N/A	White Smoke	Drought	Shell Armor	50.2	49.8
Spoink	Field	N/A	Thick Fat	Own Tempo	Gluttony	50.2	49.8
Grumpig	Field	N/A	Thick Fat	Own Tempo	Gluttony	50.2	49.8
Spinda	Field	Human-Like	Own Tempo	Tangled Feet	Contrary	50.2	49.8
Trapinch	Bug	Dragon*	Hyper Cutter	Arena Trap	Sheer Force	50.2	49.8
Vibrava	Bug	Dragon*	Levitate	N/A	N/A	50.2	49.8
Flygon	Bug	Dragon*	Levitate	N/A	N/A	50.2	49.8
Cacnea	Grass	Human-Like	Sand Veil	Water Absorb	N/A	50.2	49.8
Cacturne	Grass	Human-Like	Sand Veil	Water Absorb	N/A	50.2	49.8
Swablu	Flying	Dragon	Natural Cure	Cloud Nine	N/A	50.2	49.8
Altaria	Flying	Dragon	Natural Cure	Cloud Nine	N/A	50.2	49.8
Zangoose	Field	N/A	Immunity	Toxic Boost	N/A	50.2	49.8
Seviper	Field	Dragon	Shed Skin	Infiltrator	N/A	50.2	49.8
Lunatone	Mineral	N/A	Levitate	N/A	N/A	0	0
Solrock	Mineral	N/A	Levitate	N/A	N/A	0	0
Barboach	Water 2	N/A	Oblivious	Anticipation	Hydration	50.2	49.8
Whiscash	Water 2	N/A	Oblivious	Anticipation	Hydration	50.2	49.8
Corphish	Water 1	Water 3	Hyper Cutter	Shell Armor	Adaptability	50.2	49.8
Crawdaunt	Water 1	Water 3	Hyper Cutter	Shell Armor	Adaptability	50.2	49.8
Baltoy	Mineral	N/A	Levitate	N/A	N/A	0	0
Claydol	Mineral	N/A	Levitate	N/A	N/A	0	0
Lileep	Water 3	N/A	Suction Cups	Storm Drain	N/A	88.14	11.86
Cradily	Water 3	N/A	Suction Cups	Storm Drain	N/A	88.14	11.86
Anorith	Water 3	N/A	Battle Armor	Swift Swim	N/A	88.14	11.86
Armaldo	Water 3	N/A	Battle Armor	Swift Swim	N/A	88.14	11.86
Feebas	Water 1	Dragon	Swift Swim	Oblivious	Adaptability	50.2	49.8
Milotic	Water 1	Dragon	Marvel Scale	Competitive	Cute Charm	50.2	49.8
Castform	Fairy	Amorphous	Forecast	N/A	N/A	50.2	49.8
Kecleon	Field	N/A	Color Change	Protean	N/A	50.2	49.8
